"","Second.SampleID","First.SampleID","First.ID","Loci.typed","Second.ID","Loci.typed.1","Matching.loci","Mismatching.loci","pID","pIDsib","Status","First.year","Second.year","First.Lat.x","First.Lon.x","First.Date.x","First.Size.x","First.Size_type.x","First.Tail_color.x","First.Age.x","First.Sex.x","First.Collector.x","First.Notes.x","First.mass_g.x","First.Extracted..x","First.Digested..x","First.Ligated..x","Second.Lat.x","Second.Lon.x","Second.Date.x","Second.Size.x","Second.Size_type.x","Second.Tail_color.x","Second.Age.x","Second.Sex.x","Second.Collector.x","Second.Notes.x","Second.mass_g.x","Second.Extracted..x","Second.Digested..x","Second.Ligated..x","distkm","First.SampleID_dd","Second.SampleID_dd","First.Lat.y","First.Lon.y","First.Date.y","First.Size.y","First.Size_type.y","First.Tail_color.y","First.Age.y","First.Sex.y","First.Collector.y","First.Notes.y","First.mass_g.y","First.Extracted..y","First.Digested..y","First.Ligated..y","Second.Lat.y","Second.Lon.y","Second.Date.y","Second.Size.y","Second.Size_type.y","Second.Tail_color.y","Second.Age.y","Second.Sex.y","Second.Collector.y","Second.Notes.y","Second.mass_g.y","Second.Extracted..y","Second.Digested..y","Second.Ligated..y","First.LigID","Second.LigID","Mismatch.prop"
"51","APCL14_424","APCL14_400","APCL_14400L0799",265,"APCL_14424L1747",265,249,16,0,0,"Fuzzy match",2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0382279348822817,"APCL_14400","APCL_14424",10.871527,124.714255,"6/23/2014",4.3,"FL","Y","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",10.871694,124.713949,"6/24/2014",5.2,"FL","YR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0642570281124498
"53","APCL14_425","APCL14_401","APCL_14401L1005",265,"APCL_14425L1729",265,249,16,0,0,"Fuzzy match",2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0413156191696733,"APCL_14401","APCL_14425",10.871536,124.714258,"6/23/2014",5.8,"FL","Y","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",10.871701,124.713919,"6/24/2014",5.2,"FL","WR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0642570281124498
"56","APCL14_445","APCL13_351","APCL_13351L0370",265,"APCL_14445L0742",265,249,16,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84255055021129,"APCL_13351","APCL_14445",10.8584133,124.7244405,"5/29/2013",3.6,"FL","YR","L",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.871446,124.71402,"6/24/2014",4.2,"FL","YR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0642570281124498
"23","APCL14_032","APCL13_147","APCL_13147L0434",265,"APCL_14032L0947",263,247,16,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0191689389198242,"APCL_13147","APCL_14032",10.6524255,124.783547,"5/26/2013",11,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",10.652397,124.78372,"6/12/2014",9.6,"FL","WR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0647773279352227
"46","APCL14_303","APCL13_430","APCL_13430L1637",204,"APCL_14303L1638",189,176,12,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APCL_13430","APCL_14303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.634929,124.776218,"6/22/2014",4.5,"FL","WR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0681818181818182
"57","APCL14_447","APCL13_447","APCL_13447L0846",265,"APCL_14447L1238",265,248,17,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453323215193111,"APCL_13447","APCL_14447",10.8738498,124.7105893,"5/31/2013",5.1,"FL","YR","L",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.871447,124.713943,"6/24/2014",5.3,"FL","WP","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0685483870967742
"44","APCL14_270","APCL13_601","APCL_13601L0683",265,"APCL_14270L1013",265,247,18,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0422320182517853,"APCL_13601","APCL_14270",10.6341135,124.776679,"6/3/2013",5.3,"FL","YR","L",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.634489,124.776737,"6/22/2014",5.4,"FL","Y","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0728744939271255
"62","APCL14_509","APCL13_587","APCL_13587L1737",265,"APCL_14509L1705",265,247,18,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4500452245335,"APCL_13587","APCL_14509",10.6340205,124.776657,"6/3/2013",9.1,"FL","O","A",NA,"MLP","dark fish, took photos",NA,"TRUE","TRUE","FALSE",10.79974,124.76825,"6/29/2014",3.9,"FL","YR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0728744939271255
"7","APCL13_207","APCL13_207","APCL_13207L0444",265,"APCL_13207L1024",206,192,14,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"APCL_13207","APCL_13207",10.873354,124.7120828,"5/27/2013",8.7,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",10.873354,124.7120828,"5/27/2013",8.7,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",NA,NA,0.0729166666666667
"37","APCL14_155","APCL13_584","APCL_13584L1736",263,"APCL_14155L1741",265,245,18,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6009258329896,"APCL_13584","APCL_14155",10.6339953,124.7767205,"6/3/2013",8.2,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.873714,124.711159,"6/17/2014",5.2,"FL","WR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.073469387755102
"52","APCL14_425","APCL14_401","APCL_14401L1005",265,"APCL_14425L1343",253,235,18,0,0,"Fuzzy match",2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0413156191696733,"APCL_14401","APCL_14425",10.871536,124.714258,"6/23/2014",5.8,"FL","Y","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",10.871701,124.713919,"6/24/2014",5.2,"FL","WR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0765957446808511
"1","APCL13_050","APCL13_048","APCL_13048L0881",250,"APCL_13050L1597",262,229,18,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0182811468231917,"APCL_13048","APCL_13050",10.7562858,124.7857988,"5/23/2013",4,"FL","W","L",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",10.756221,124.785645,"5/23/2013",9.1,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",NA,NA,0.0786026200873362
"3","APCL13_087","APCL13_087","APCL_13087L0423",265,"APCL_13087L1719",265,245,20,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"APCL_13087","APCL_13087",10.743469,124.7866575,"5/24/2013",9.8,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",10.743469,124.7866575,"5/24/2013",9.8,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",NA,NA,0.0816326530612245
"5","APCL13_130","APCL13_130","APCL_13130L0432",265,"APCL_13130L1720",265,245,20,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"APCL_13130","APCL_13130",10.798464,124.7687123,"5/25/2013",6.8,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",10.798464,124.7687123,"5/25/2013",6.8,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",NA,NA,0.0816326530612245
"18","APCL13_587","APCL13_587","APCL_13587L0678",265,"APCL_13587L1737",265,245,20,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"APCL_13587","APCL_13587",10.6340205,124.776657,"6/3/2013",9.1,"FL","O","A",NA,"MLP","dark fish, took photos",NA,"TRUE","TRUE","FALSE",10.6340205,124.776657,"6/3/2013",9.1,"FL","O","A",NA,"MLP","dark fish, took photos",NA,"TRUE","TRUE","FALSE",NA,NA,0.0816326530612245
"65","APCL14_XXX","APCL13_615","APCL_13615L0884",265,"APCL_14XXXL1282",265,245,20,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APCL_13615","APCL_14XXX",10.8707983,124.714551,"6/4/2013",5.3,"FL","WP","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0816326530612245
"48","APCL14_310","APCL14_310","APCL_14310L0597",262,"APCL_14310L1748",263,242,20,0,0,"Fuzzy match",2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"APCL_14310","APCL_14310",10.635088,124.776224,"6/22/2014",4.5,"FL","Y","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",10.635088,124.776224,"6/22/2014",4.5,"FL","Y","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0826446280991736
"55","APCL14_433","APCL13_266","APCL_13266L0299",241,"APCL_14433L1283",265,222,19,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.438777503732065,"APCL_13266","APCL_14433",10.8688405,124.716458,"5/28/2013",3.2,"FL","YR","L",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.871811,124.713813,"6/24/2014",7.6,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0855855855855856
"45","APCL14_303","APCL13_429","APCL_13429L0452",163,"APCL_14303L1638",189,143,13,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APCL_13429","APCL_14303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.634929,124.776218,"6/22/2014",4.5,"FL","WR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0909090909090909
"11","APCL13_367","APCL13_363","APCL_13363L0645",221,"APCL_13367L0381",220,165,17,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00467694869667643,"APCL_13363","APCL_13367",10.8562303,124.725933,"5/29/2013",6.9,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.8562355,124.7258905,"5/29/2013",6.8,"FL","YP","A",NA,"MLP","#367 sort of looks sampled already",NA,"TRUE","TRUE","FALSE",NA,NA,0.103030303030303
"2","APCL13_055","APCL13_054","APCL_13054L1037",211,"APCL_13055L1602",265,191,20,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.49352979660034e-05,"APCL_13054","APCL_13055",10.7551455,124.785205,"5/23/2013",3.2,"FL","YR","L",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",10.7551455,124.785205,"5/23/2013",6.5,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",NA,NA,0.104712041884817
"15","APCL13_461","APCL13_005","APCL_13005L0455",197,"APCL_13461L1676",265,177,20,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4954447284797,"APCL_13005","APCL_13461",10.7449643,124.7857575,"5/22/2013",7.8,"FL","Y","L",NA,"MLP",NA,"0.0145","TRUE","TRUE","FALSE",10.8737835,124.710859,"5/31/2013",10.4,"FL","YP","A",NA,"MLP","fish were not close to any visible anem",NA,"TRUE","TRUE","FALSE",NA,NA,0.112994350282486
"14","APCL13_432","APCL13_430","APCL_13430L1637",204,"APCL_13432L0843",143,103,19,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APCL_13430","APCL_13432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184466019417476
"13","APCL13_432","APCL13_429","APCL_13429L0452",163,"APCL_13432L0843",143,85,16,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APCL_13429","APCL_13432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188235294117647
"47","APCL14_303","APCL13_432","APCL_13432L0843",143,"APCL_14303L1638",189,97,19,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APCL_13432","APCL_14303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.634929,124.776218,"6/22/2014",4.5,"FL","WR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.195876288659794
