Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
L2479,809,L0994,809,809,21,-1.28654563895390E+0002,-1.28654563895390E+0002,*,L1607,809,809,24,-1.19961412416127E+0002,-1.19961412416127E+0002,*,809,45,-2.51926955367615E+0002,-2.51926955367615E+0002,-,
L2479,809,L0913,809,809,32,-1.78636767234211E+0002, 0.00000000000000E+0000,,L0994,809,809,21,-1.28654563895390E+0002,-1.28654563895390E+0002,*,809,52,-3.05945194170672E+0002, 0.00000000000000E+0000,,
L2480,804,L0886,809,804,18,-8.92813904141603E+0001,-8.92813904141603E+0001,*,L0994,809,804,10,-5.90886667993693E+0001,-5.90886667993693E+0001,*,804,31,-1.66380445552168E+0002,-1.66380445552168E+0002,-,
L2480,804,L0994,809,804,10,-5.90886667993693E+0001,-5.90886667993693E+0001,*,L2512,809,804,31,-1.55586865103928E+0002, 0.00000000000000E+0000,,804,43,-2.31321073146462E+0002, 0.00000000000000E+0000,,
L2276,782,L0994,809,782,10,-6.09199782228766E+0001,-6.09199782228766E+0001,*,L1607,809,782,27,-1.53827425679441E+0002,-1.53827425679441E+0002,-,782,38,-2.19572455970360E+0002,-2.19572455970360E+0002,-,
L2276,782,L0886,809,782,29,-1.69248085521590E+0002, 0.00000000000000E+0000,,L0994,809,782,10,-6.09199782228766E+0001,-6.09199782228766E+0001,*,782,42,-2.47372306177555E+0002, 0.00000000000000E+0000,,
L2226,0
L2481,809,L0816,809,809,28,-1.47537812670208E+0002,-1.47537812670208E+0002,*,L0994,809,809,9,-4.69200238831377E+0001,-4.69200238831377E+0001,*,809,41,-2.18261903959106E+0002,-2.18261903959106E+0002,-,
L2481,809,L0913,809,809,28,-1.56315822565723E+0002, 0.00000000000000E+0000,,L0994,809,809,9,-4.69200238831377E+0001,-4.69200238831377E+0001,*,809,40,-2.20350397074300E+0002, 0.00000000000000E+0000,,
L2427,807,L0886,809,807,22,-1.10714432821245E+0002,-1.10714432821245E+0002,*,L0994,809,807,13,-8.34884439234336E+0001,-8.34884439234336E+0001,*,807,37,-2.05421604257510E+0002,-2.05421604257510E+0002,-,
L2427,807,L0994,809,807,13,-8.34884439234336E+0001,-8.34884439234336E+0001,*,L1607,809,807,28,-1.61785830521651E+0002, 0.00000000000000E+0000,,807,43,-2.55069535497600E+0002, 0.00000000000000E+0000,,
L2483,809,L0994,809,809,18,-1.02401437135270E+0002,-1.02401437135270E+0002,*,L2572,809,809,25,-7.82423722224781E+0001,-7.82423722224781E+0001,*,809,45,-1.93284947748420E+0002,-1.93284947748420E+0002,-,
L2483,809,L0994,809,809,18,-1.02401437135270E+0002,-1.02401437135270E+0002,*,L2500,710,710,30,-1.49787727198996E+0002, 0.00000000000000E+0000,,809,49,-2.57992996659949E+0002, 0.00000000000000E+0000,,
