fish_id,color,fin_id,recap,size,tag_id,dive_num,obs_time,collector,gps,depth_m,depth_ft,anemspp,anemdia,oldanemid,anem_id,anemsampleid,spp,notes,anem_table_id,dive_table_id
91.2,NA,NA,NA,9,NA,5,14:35:00,MRS,3,5.7,NA,HECR,30,NA,2007,NA,APCL,Two large fish swam away. Anemone spp marked based on Malin's memory. It was pulled into a crack when Michelle saw it.,6895,289
92.1,YR,58,NA,5.7,NA,5,14:38:00,MRS,3,4.7,NA,HECR,25,NA,2195,NA,APCL,"Note says: ""two larger from before"" (perhaps because two large fish with fins clipped?)",6896,289
93.1,O,59,NA,7.5,NA,5,14:45:00,MRS,3,4.8,NA,MADO,30,NA,2198,NA,APCL,NA,6897,289
98.1,O,62,NA,7.5,NA,5,14:51:00,MRS,3,4.7,NA,HECR,15,NA,2200,NA,APCL,"Fish sizes based on Michelle's notes when she saw it first (7,3) and the fish we caught there (7.5, 6.9, and one small one that got away). This anemone also observed at 15:05",6902,289
98.2,NA,NA,NA,3,NA,5,14:51:00,MRS,3,4.7,NA,HECR,15,NA,2200,NA,APCL,"Fish sizes based on Michelle's notes when she saw it first (7,3) and the fish we caught there (7.5, 6.9, and one small one that got away). This anemone also observed at 15:05",6902,289
98.3,YR,61,NA,6.3,NA,5,14:51:00,MRS,3,4.7,NA,HECR,15,NA,2200,NA,APCL,"Fish sizes based on Michelle's notes when she saw it first (7,3) and the fish we caught there (7.5, 6.9, and one small one that got away). This anemone also observed at 15:05",6902,289
99.1,YR,60,NA,5.1,NA,5,14:56:00,MRS,3,4.4,NA,HECR,15,NA,2199,NA,APCL,NA,6903,289
99.2,YR,NA,NA,3,NA,5,14:56:00,MRS,3,4.4,NA,HECR,15,NA,2199,NA,APCL,NA,6903,289
101.1,O,72,NA,10.2,NA,5,14:59:00,MRS,3,4.4,NA,HECR,30,NA,2014,NA,APCL,"Fish sizes based on Michelle's notes when she saw it first (10,10,7,5,3) and the fish we caught there (10.2, 9.6, 5.8, 4.2).",6905,289
101.2,YP,70,NA,9.6,NA,5,14:59:00,MRS,3,4.4,NA,HECR,30,NA,2014,NA,APCL,"Fish sizes based on Michelle's notes when she saw it first (10,10,7,5,3) and the fish we caught there (10.2, 9.6, 5.8, 4.2).",6905,289
