fish_table_id,anem_table_id,fish_spp,size,fin_id,sample_id,color,gen_id,recap,tag_id,fish_obs_time,notes,collector,correction,corr_date,corr_editor,corr_message
6821,6805,APCL,10,NA,NA,YP,NA,Y,985153000368572,NA,NA,MRS,NA,NA,NA,NA
7333,7117,APCL,8.2,178,APCL16_178,O,NA,N,985153000401446,NA,Old tag was either 445 or 446. Next to seagrass. MRS thought she remembered it from 2015.,MRS,NA,NA,NA,NA
6827,6808,APCL,6.8,7,APCL16_007,YR,1638,N,985153000405478,NA,NA,MRS,NA,NA,NA,NA
7863,7675,APCL,5.3,458,APCL16_458,YR,NA,N,985153000401797,NA,NA,MRS,NA,NA,NA,NA
6851,6823,APCL,6.5,19,APCL16_019,O,1650,N,985153000402570,NA,NA,MRS,NA,NA,NA,NA
6862,6831,APCL,6.8,16,APCL16_016,YP,1647,N,985153000401628,NA,NA,MRS,NA,NA,NA,NA
7893,7687,APCL,8.6,484,APCL16_484,O,NA,N,985153000369431,NA,4cm fish escaped,MRS,NA,NA,NA,NA
6863,6831,APCL,9.1,17,APCL16_017,O,1648,N,985153000404860,NA,NA,MRS,NA,NA,NA,NA
6869,6834,APCL,10,21,APCL16_021,O,1652,N,985153000404750,NA,NA,MRS,NA,NA,NA,NA
7386,7138,APCL,11.2,192,APCL16_192,O,NA,N,985153000352072,NA,NA,MRS,NA,NA,NA,NA
7901,7689,APCL,6.6,492,APCL16_492,YR,NA,N,985153000354446,NA,NA,MRS,NA,NA,NA,NA
7903,7689,APCL,4.9,494,APCL16_494,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7390,7140,APCL,8,194,APCL16_194,YP,NA,N,985153000403397,NA,NA,MLP,NA,NA,NA,NA
7915,7695,APCL,6,503,APCL16_503,O,NA,N,985153000368475,NA,NA,MRS,NA,NA,NA,NA
7402,7144,APCL,5.4,200,APCL16_200,YR,NA,N,985153000403071,NA,NA,MLP,NA,NA,NA,NA
7406,7148,APCL,7.9,203,APCL16_203,O,NA,N,985153000402079,NA,7.9 O fish has very thin orange edges,MLP,NA,NA,NA,NA
7410,7150,APCL,10.1,207,APCL16_207,YP,NA,N,985153000406415,NA,NA,MLP,NA,NA,NA,NA
7414,7153,APCL,8.6,210,APCL16_210,O,NA,N,985153000406276,NA,Old tag unreadable,MLP,NA,NA,NA,NA
6899,6847,APCL,8.5,27,APCL16_027,YR,1658,N,985153000403295,NA,NA,MRS,NA,NA,NA,NA
6903,6850,APCL,7.6,30,APCL16_030,O,1661,N,985153000400546,NA,NA,MRS,NA,NA,NA,NA
6907,6856,APCL,5.3,31,APCL16_031,YP,1662,NA,NA,NA,NA,MRS,NA,NA,NA,NA
7951,7723,APCL,6.5,521,APCL16_521,W,NA,N,985153000370368,NA,NA,MRS,NA,NA,NA,NA
7959,7727,APCL,8.7,526,APCL16_526,O,NA,N,985153000405666,NA,NA,MRS,NA,NA,NA,NA
6933,6874,APCL,10.1,40,APCL16_040,O,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
