Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
APCL_13004L0454,939,APCL_14157L0715_APCL14_155,1012,939,10,-9.38394308078937E+0001, 0.00000000000000E+0000,,APCL_14163L1292_APCL14_161,1012,939,9,-8.74464227306340E+0001, 0.00000000000000E+0000,,939,22,-2.04552928040405E+0002, 0.00000000000000E+0000,,
APCL_13005L1675_APCL13_426,1012,APCL_14157L0715_APCL14_155,1012,1012,6,-8.43646543781211E+0001,-8.43646543781211E+0001,*,APCL_14158L0909_APCL14_156,1012,1012,5,-7.11199133628190E+0001,-7.11199133628190E+0001,*,1012,19,-2.07651860697268E+0002,-2.07651860697268E+0002,-,
APCL_13005L1675_APCL13_426,1012,APCL_14158L0909_APCL14_156,1012,1012,5,-7.11199133628190E+0001,-7.11199133628190E+0001,*,APCL_14197L1276_APCL14_195,1012,1012,14,-9.77803475525128E+0001, 0.00000000000000E+0000,,1012,26,-2.33153172014852E+0002, 0.00000000000000E+0000,,
APCL_13006L0456,950,APCL_14157L0715_APCL14_155,1012,950,11,-1.14963002200634E+0002, 0.00000000000000E+0000,,APCL_14158L0909_APCL14_156,1012,950,7,-6.91093683934189E+0001,-6.91093683934189E+0001,*,950,20,-1.94620324075131E+0002,-1.94620324075131E+0002,-,
APCL_13006L0456,950,APCL_14158L0909_APCL14_156,1012,950,7,-6.91093683934189E+0001,-6.91093683934189E+0001,*,APCL_14169L0716_APCL14_167,1007,945,15,-1.11691672480000E+0002, 0.00000000000000E+0000,,950,26,-2.02063002519123E+0002, 0.00000000000000E+0000,,
APCL_13007L0457,820,APCL_14158L0909_APCL14_156,1012,820,4,-2.67762838833254E+0001,-2.67762838833254E+0001,*,APCL_14198L0718_APCL14_196,1010,818,11,-7.58154119416959E+0001,-7.58154119416959E+0001,*,820,21,-1.43760893538063E+0002,-1.43760893538063E+0002,*,
APCL_13007L0457,820,APCL_14158L0909_APCL14_156,1012,820,4,-2.67762838833254E+0001,-2.67762838833254E+0001,*,APCL_14197L1276_APCL14_195,1012,820,15,-9.06081839678183E+0001, 0.00000000000000E+0000,,820,24,-1.54501790296128E+0002, 0.00000000000000E+0000,,
APCL_13008L0458,865,APCL_14158L0909_APCL14_156,1012,865,4,-5.06102893566428E+0001,-5.06102893566428E+0001,*,APCL_14204L0994_APCL14_202,1012,865,5,-4.70108965157323E+0001,-4.70108965157323E+0001,*,865,12,-1.27378266472277E+0002,-1.27378266472277E+0002,*,
APCL_13008L0458,865,APCL_14163L1292_APCL14_161,1012,865,10,-8.14648312011570E+0001, 0.00000000000000E+0000,,APCL_14204L0994_APCL14_202,1012,865,5,-4.70108965157323E+0001,-4.70108965157323E+0001,*,865,21,-1.63021057418904E+0002, 0.00000000000000E+0000,,
APCL_13009L0459,910,APCL_14158L0909_APCL14_156,1012,910,6,-6.67201979191121E+0001,-6.67201979191121E+0001,*,APCL_14185L0914_APCL14_183,1012,910,9,-5.98938349077622E+0001,-5.98938349077622E+0001,*,910,23,-1.90095858539259E+0002,-1.90095858539259E+0002,-,
