Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
L2270,750,L1607,809,750,28,-1.61956393202296E+0002,-1.61956393202296E+0002,-,L1671,789,730,36,-2.01829937739297E+0002, 0.00000000000000E+0000,,750,65,-3.66137970182226E+0002, 0.00000000000000E+0000,,
L2368,0
L1772,776,L0984,807,774,31,-1.64153055042335E+0002,-1.64153055042335E+0002,-,L1607,809,776,36,-2.08392728338484E+0002, 0.00000000000000E+0000,,776,74,-4.05247686469778E+0002,-4.05247686469778E+0002,-,
L1772,776,L0913,809,776,34,-2.01456468024373E+0002,-2.01456468024373E+0002,-,L0984,807,774,31,-1.64153055042335E+0002,-1.64153055042335E+0002,-,776,72,-4.06614121004843E+0002, 0.00000000000000E+0000,,
L2271,702,L1607,809,702,29,-1.59505381780514E+0002,-1.59505381780514E+0002,-,L2500,710,616,36,-1.93182826224909E+0002, 0.00000000000000E+0000,,702,63,-3.42296580358213E+0002,-3.42296580358213E+0002,-,
L2271,702,L1607,809,702,29,-1.59505381780514E+0002,-1.59505381780514E+0002,-,L2512,809,702,36,-1.80728091876465E+0002,-1.80728091876465E+0002,-,702,66,-3.49825781921156E+0002, 0.00000000000000E+0000,,
L2216,789,L0886,809,789,29,-1.62906944509728E+0002,-1.62906944509728E+0002,-,L1607,809,789,24,-1.35164533342735E+0002,-1.35164533342735E+0002,*,789,57,-3.19146548203460E+0002,-3.19146548203460E+0002,-,
L2216,789,L0913,809,789,30,-1.71740872162975E+0002, 0.00000000000000E+0000,,L1607,809,789,24,-1.35164533342735E+0002,-1.35164533342735E+0002,*,789,58,-3.32048022049750E+0002, 0.00000000000000E+0000,,
L1773,797,L0886,809,797,27,-1.48603424445951E+0002, 0.00000000000000E+0000,,L0913,809,797,19,-9.98330199404647E+0001,-9.98330199404647E+0001,*,797,52,-2.80231650753025E+0002,-2.80231650753025E+0002,-,
L1773,797,L0816,809,797,29,-1.62661648951858E+0002, 0.00000000000000E+0000,,L0913,809,797,19,-9.98330199404647E+0001,-9.98330199404647E+0001,*,797,53,-2.84077821821727E+0002, 0.00000000000000E+0000,,
L2218,780,L0816,809,780,26,-1.32177237839918E+0002,-1.32177237839918E+0002,*,L0913,809,780,29,-1.60749341322239E+0002,-1.60749341322239E+0002,-,780,60,-3.20275414211645E+0002,-3.20275414211645E+0002,-,
L2218,780,L0816,809,780,26,-1.32177237839918E+0002,-1.32177237839918E+0002,*,L2500,710,683,30,-1.62372184294283E+0002, 0.00000000000000E+0000,,780,64,-3.40425853909619E+0002, 0.00000000000000E+0000,,
L1775,809,L0731,768,768,31,-1.49169683141443E+0002,-1.49169683141443E+0002,-,L0786,808,808,39,-2.04346504277543E+0002, 0.00000000000000E+0000,,809,72,-3.65146949847299E+0002,-3.65146949847299E+0002,-,
L1775,809,L0731,768,768,31,-1.49169683141443E+0002,-1.49169683141443E+0002,-,L0816,809,809,36,-1.97632210035293E+0002, 0.00000000000000E+0000,,809,71,-3.71398030624610E+0002, 0.00000000000000E+0000,,
L2220,782,L0886,809,782,23,-1.18803282541243E+0002,-1.18803282541243E+0002,*,L2500,710,684,29,-1.52488621948666E+0002,-1.52488621948666E+0002,-,782,59,-3.04006796400442E+0002,-3.04006796400442E+0002,-,
L2220,782,L0886,809,782,23,-1.18803282541243E+0002,-1.18803282541243E+0002,*,L1607,809,782,32,-1.78443941130254E+0002, 0.00000000000000E+0000,,782,61,-3.29606958104582E+0002, 0.00000000000000E+0000,,
L2221,731,L0886,809,731,27,-1.59309862766133E+0002,-1.59309862766133E+0002,-,L0913,809,731,30,-1.65995307334867E+0002,-1.65995307334867E+0002,-,731,60,-3.37371404112848E+0002,-3.37371404112848E+0002,-,
L2221,731,L0886,809,731,27,-1.59309862766133E+0002,-1.59309862766133E+0002,-,L1607,809,731,31,-1.72366139274815E+0002, 0.00000000000000E+0000,,731,61,-3.46282770812181E+0002, 0.00000000000000E+0000,,
L2346,802,L0886,809,802,21,-1.15994062903904E+0002,-1.15994062903904E+0002,*,L0913,809,802,33,-1.82268711738640E+0002, 0.00000000000000E+0000,,802,60,-3.29502087684360E+0002,-3.29502087684360E+0002,-,
L2346,802,L0886,809,802,21,-1.15994062903904E+0002,-1.15994062903904E+0002,*,L1671,789,783,34,-1.87432154293565E+0002, 0.00000000000000E+0000,,802,63,-3.38727533441880E+0002, 0.00000000000000E+0000,,
L2369,800,L0816,809,800,24,-1.19645143580333E+0002,-1.19645143580333E+0002,*,L1607,809,800,25,-1.37868015215105E+0002,-1.37868015215105E+0002,*,800,54,-2.82136440433343E+0002,-2.82136440433343E+0002,-,
L2369,800,L0816,809,800,24,-1.19645143580333E+0002,-1.19645143580333E+0002,*,L0913,809,800,28,-1.56818330885005E+0002, 0.00000000000000E+0000,,800,58,-3.08686814203496E+0002, 0.00000000000000E+0000,,
L2370,786,L0816,809,786,23,-1.10866683584993E+0002,-1.10866683584993E+0002,*,L0913,809,786,27,-1.51416850071996E+0002,-1.51416850071996E+0002,-,786,53,-2.79109002776743E+0002,-2.79109002776743E+0002,-,
L2370,786,L0786,808,785,32,-1.59456345533762E+0002, 0.00000000000000E+0000,,L0816,809,786,23,-1.10866683584993E+0002,-1.10866683584993E+0002,*,786,62,-3.12930077538598E+0002, 0.00000000000000E+0000,,
L2421,0
L2371,806,L0913,809,806,28,-1.55377521200678E+0002,-1.55377521200678E+0002,-,L2512,809,806,32,-1.53215578031179E+0002,-1.53215578031179E+0002,-,806,68,-3.55864761198975E+0002,-3.55864761198975E+0002,-,
L2371,806,L1607,809,806,35,-1.95169356565755E+0002, 0.00000000000000E+0000,,L2500,710,707,31,-1.56662440912590E+0002, 0.00000000000000E+0000,,806,67,-3.57726738453944E+0002, 0.00000000000000E+0000,,
L2373,0
L2566,809,L0913,809,809,32,-1.87847642022277E+0002, 0.00000000000000E+0000,,L0984,807,807,22,-1.01276954767474E+0002,-1.01276954767474E+0002,*,809,58,-3.10548394443943E+0002,-3.10548394443943E+0002,-,
L2566,809,L0984,807,807,22,-1.01276954767474E+0002,-1.01276954767474E+0002,*,L1607,809,809,36,-2.05619393463393E+0002, 0.00000000000000E+0000,,809,62,-3.25512454183358E+0002, 0.00000000000000E+0000,,
L2424,802,L0913,809,802,28,-1.60346561336707E+0002,-1.60346561336707E+0002,-,L1671,789,782,35,-1.83221504143135E+0002, 0.00000000000000E+0000,,802,65,-3.51960029262540E+0002,-3.51960029262540E+0002,-,
L2424,802,L0731,768,761,34,-1.83082173784112E+0002,-1.83082173784112E+0002,-,L0816,809,802,37,-2.08203713221184E+0002, 0.00000000000000E+0000,,802,70,-3.84466053142576E+0002, 0.00000000000000E+0000,,
L2577,809,L1283,806,806,17, 8.26302233758428E+0001, 8.26302233758428E+0001,*,L1607,809,809,25,-1.31165192723486E+0002, 0.00000000000000E+0000,,809,53,-1.04745599580515E+0002,-1.04745599580515E+0002,+,
L2577,809,L0913,809,809,30,-1.64459070156508E+0002, 0.00000000000000E+0000,,L1283,806,806,17, 8.26302233758428E+0001, 8.26302233758428E+0001,*,809,55,-1.24738630419347E+0002, 0.00000000000000E+0000,,
L2377,797,L2356,806,794,4, 1.12259924922150E+0002, 1.12259924922150E+0002,*,L2357,804,792,7, 1.04810793475536E+0002, 1.04810793475536E+0002,*,797,12, 2.77965865055959E+0002, 2.77965865055959E+0002,*,
L2377,797,L0886,809,797,28,-1.58354450085015E+0002, 0.00000000000000E+0000,,L2357,804,792,7, 1.04810793475536E+0002, 1.04810793475536E+0002,*,797,48,-1.19413670137463E+0002, 0.00000000000000E+0000,,
L2274,785,L0886,809,785,27,-1.40883592734496E+0002,-1.40883592734496E+0002,*,L0913,809,785,28,-1.48818583205251E+0002,-1.48818583205251E+0002,*,785,55,-2.87530250322630E+0002,-2.87530250322630E+0002,-,
L2274,785,L0886,809,785,27,-1.40883592734496E+0002,-1.40883592734496E+0002,*,L1607,809,785,29,-1.64072604949430E+0002, 0.00000000000000E+0000,,785,57,-3.06199615540761E+0002, 0.00000000000000E+0000,,
L2568,809,L1607,809,809,26,-1.37344054179859E+0002,-1.37344054179859E+0002,*,L1671,789,789,35,-1.85681841085014E+0002, 0.00000000000000E+0000,,809,61,-3.20809112651805E+0002,-3.20809112651805E+0002,-,
L2568,809,L0786,808,808,33,-1.63891983160432E+0002,-1.63891983160432E+0002,-,L1607,809,809,26,-1.37344054179859E+0002,-1.37344054179859E+0002,*,809,64,-3.26948716473841E+0002, 0.00000000000000E+0000,,
L2479,809,L0913,809,809,32,-1.78639225614243E+0002,-1.78639225614243E+0002,-,L1607,809,809,24,-1.19886469268800E+0002,-1.19886469268800E+0002,*,809,59,-3.18504148202781E+0002,-3.18504148202781E+0002,-,
L2479,809,L0816,809,809,38,-2.13894774141959E+0002, 0.00000000000000E+0000,,L1607,809,809,24,-1.19886469268800E+0002,-1.19886469268800E+0002,*,809,69,-3.70486039942641E+0002, 0.00000000000000E+0000,,
L2480,804,L0886,809,804,18,-8.93856347568776E+0001,-8.93856347568776E+0001,*,L2512,809,804,31,-1.55739348867016E+0002,-1.55739348867016E+0002,-,804,58,-2.96939669917167E+0002,-2.96939669917167E+0002,-,
L2480,804,L0816,809,804,36,-2.02294750418595E+0002, 0.00000000000000E+0000,,L0886,809,804,18,-8.93856347568776E+0001,-8.93856347568776E+0001,*,804,56,-3.02281851584987E+0002, 0.00000000000000E+0000,,
L2276,782,L0886,809,782,29,-1.69007512961937E+0002,-1.69007512961937E+0002,-,L1607,809,782,27,-1.53633479289394E+0002,-1.53633479289394E+0002,-,782,63,-3.60601763400723E+0002,-3.60601763400723E+0002,-,
L2276,782,L1607,809,782,27,-1.53633479289394E+0002,-1.53633479289394E+0002,-,L1671,789,762,37,-1.97723658721346E+0002, 0.00000000000000E+0000,,782,66,-3.61642804309785E+0002, 0.00000000000000E+0000,,
L2226,0
L2481,809,L0816,809,809,28,-1.47526421897615E+0002,-1.47526421897615E+0002,*,L0913,809,809,28,-1.56312568315440E+0002,-1.56312568315440E+0002,-,809,63,-3.38955602379409E+0002,-3.38955602379409E+0002,-,
L2481,809,L0886,809,809,34,-1.92483298359383E+0002, 0.00000000000000E+0000,,L0913,809,809,28,-1.56312568315440E+0002,-1.56312568315440E+0002,-,809,61,-3.42185566357193E+0002, 0.00000000000000E+0000,,
L2427,807,L0886,809,807,22,-1.10549001949350E+0002,-1.10549001949350E+0002,*,L1671,789,787,30,-1.58449227852924E+0002,-1.58449227852924E+0002,-,807,58,-2.99438848761666E+0002,-2.99438848761666E+0002,-,
L2427,807,L0886,809,807,22,-1.10549001949350E+0002,-1.10549001949350E+0002,*,L0913,809,807,33,-1.90658680168534E+0002, 0.00000000000000E+0000,,807,57,-3.08801354465769E+0002, 0.00000000000000E+0000,,
L2483,809,L2500,710,710,30,-1.49962331025208E+0002,-1.49962331025208E+0002,-,L2572,809,809,25,-7.85488849245405E+0001,-7.85488849245405E+0001,*,809,61,-2.62598236224768E+0002,-2.62598236224768E+0002,-,
